Player1 game score,Player2 game score,Theoretical set winning probability (male),Empirical set winning probability (male),Theoretical set winning probability (female),Empirical set winning probability (female)
0,0,0.6,0.48,0.6,0.5
0,1,0.33,0.2,0.42,0.28
0,2,0.26,0.15,0.32,0.19
0,3,0.08,0.03,0.15,0.07
0,4,0.04,0.02,0.08,0.03
0,5,0,0,0.01,0
1,0,0.65,0.56,0.68,0.61
1,1,0.59,0.48,0.6,0.51
1,2,0.29,0.18,0.39,0.28
1,3,0.22,0.12,0.28,0.19
1,4,0.05,0.02,0.1,0.06
1,5,0.02,0.01,0.04,0.02
2,0,0.86,0.84,0.83,0.8
2,1,0.65,0.56,0.68,0.62
2,2,0.58,0.49,0.59,0.5
2,3,0.25,0.16,0.35,0.26
2,4,0.17,0.09,0.22,0.15
2,5,0.02,0.01,0.05,0.04
3,0,0.9,0.9,0.89,0.88
3,1,0.88,0.86,0.85,0.82
3,2,0.64,0.57,0.68,0.63
3,3,0.58,0.49,0.58,0.51
3,4,0.19,0.13,0.29,0.22
3,5,0.1,0.06,0.14,0.11
4,0,0.98,0.99,0.97,0.97
4,1,0.93,0.92,0.91,0.89
4,2,0.91,0.88,0.87,0.84
4,3,0.65,0.58,0.69,0.64
4,4,0.57,0.5,0.57,0.5
4,5,0.12,0.08,0.2,0.19
5,0,0.99,1,0.99,0.99
5,1,0.99,1,0.99,0.98
5,2,0.96,0.95,0.95,0.94
5,3,0.95,0.93,0.92,0.9
5,4,0.65,0.59,0.72,0.67
5,5,0.56,0.5,0.56,0.52
5,6,0.11,0.09,0.19,0.17
6,5,0.64,0.6,0.71,0.7
6,6,0.55,0.51,0.55,0.54
